q1,q2,q3,q4,q5
-0.062695,0.922966,-1.877870,-0.615892,1.570796
-0.056957,0.925997,-1.884068,-0.612725,1.570796
-0.050818,0.928741,-1.889680,-0.609857,1.570796
-0.044309,0.931174,-1.894657,-0.607313,1.570796
-0.037468,0.933274,-1.898954,-0.605116,1.570796
-0.030338,0.935021,-1.902530,-0.603287,1.570796
-0.022969,0.936398,-1.905349,-0.601846,1.570796
-0.015417,0.937392,-1.907383,-0.600805,1.570796
-0.007740,0.937992,-1.908612,-0.600176,1.570796
0.000000,0.938193,-1.909024,-0.599966,1.570796
0.007740,0.937992,-1.908612,-0.600176,1.570796
0.015417,0.937392,-1.907383,-0.600805,1.570796
0.022969,0.936398,-1.905349,-0.601846,1.570796
0.030338,0.935021,-1.902530,-0.603287,1.570796
0.037468,0.933274,-1.898954,-0.605116,1.570796
0.044309,0.931174,-1.894657,-0.607313,1.570796
0.050818,0.928741,-1.889680,-0.609857,1.570796
0.056957,0.925997,-1.884068,-0.612725,1.570796
0.062695,0.922966,-1.877870,-0.615892,1.570796
0.068008,0.919673,-1.871138,-0.619331,1.570796
0.072879,0.916145,-1.863927,-0.623014,1.570796
0.077297,0.912407,-1.856291,-0.626913,1.570796
0.081257,0.908487,-1.848284,-0.631000,1.570796
0.084760,0.904410,-1.839958,-0.635248,1.570796
0.087811,0.900201,-1.831366,-0.639632,1.570796
0.090420,0.895884,-1.822556,-0.644125,1.570796
0.092599,0.891482,-1.813575,-0.648704,1.570796
0.094364,0.887016,-1.804465,-0.653347,1.570796
0.095733,0.882504,-1.795266,-0.658035,1.570796
0.096724,0.877966,-1.786015,-0.662747,1.570796
0.097359,0.873417,-1.776744,-0.667469,1.570796
0.097659,0.868871,-1.767483,-0.672184,1.570796
0.097644,0.864341,-1.758258,-0.676879,1.570796
0.097335,0.859839,-1.749091,-0.681544,1.570796
0.096755,0.855373,-1.740002,-0.686168,1.570796
0.095923,0.850953,-1.731007,-0.690743,1.570796
0.094858,0.846585,-1.722120,-0.695262,1.570796
0.093580,0.842275,-1.713353,-0.699719,1.570796
0.092105,0.838027,-1.704714,-0.704109,1.570796
0.090453,0.833844,-1.696210,-0.708430,1.570796
0.088637,0.829730,-1.687847,-0.712679,1.570796
0.086673,0.825686,-1.679628,-0.716854,1.570796
0.084575,0.821712,-1.671554,-0.720954,1.570796
0.082356,0.817809,-1.663626,-0.724979,1.570796
0.080028,0.813977,-1.655844,-0.728930,1.570796
0.077602,0.810216,-1.648205,-0.732807,1.570796
0.075088,0.806523,-1.640707,-0.736612,1.570796
0.072495,0.802896,-1.633346,-0.740347,1.570796
0.069833,0.799335,-1.626118,-0.744013,1.570796
0.067109,0.795837,-1.619019,-0.747614,1.570796
0.064330,0.792399,-1.612044,-0.751152,1.570796
0.061504,0.789018,-1.605186,-0.754629,1.570796
0.058636,0.785693,-1.598440,-0.758049,1.570796
0.055731,0.782418,-1.591799,-0.761416,1.570796
0.052796,0.779192,-1.585257,-0.764731,1.570796
0.049833,0.776011,-1.578808,-0.768000,1.570796
0.046849,0.772872,-1.572444,-0.771224,1.570796
